"","hhid","exinc","inc","age","gender","nmembers","nkids","college","working","year"
"2981",13419,61453.109,66680.891,37,1,5,3,0,1,2011
"1407",10913,18158.953,23138.832,68,0,2,0,0,0,2014
"6646",35031,31066.877,32555.111,47,1,4,2,0,0,2020
"7718",42970,68365.734,65110.223,48,0,2,0,0,1,2020
"376",1242,18141.594,17954.77,78,1,1,0,0,0,2017
"11161",66782,47192.918,47098.719,53,0,2,0,0,1,2019
"1828",12202,41019.441,39066.133,51,0,5,3,0,1,2020
"9405",54879,17699.115,11799.41,52,1,2,1,0,1,2017
"12846",78248,35000,35000,55,1,2,0,0,1,2015
"3076",13494,24832.535,22926.635,68,0,1,0,0,0,2016
"10336",61116,38817.16,33319.449,38,0,5,3,0,1,2012
"5007",24079,31698.564,69776.711,41,1,3,1,0,1,2016
"12796",77954,142576.2,110619.47,47,1,3,1,0,1,2017
"4146",17738,33713.859,15469.967,62,1,1,0,0,1,2011
"5084",24466,14926.527,1546.7904,29,1,2,0,0,1,2018
"3185",13566,17211.578,16659.725,63,1,1,0,0,0,2012
"10834",64416,39780.578,39274.684,46,0,1,0,0,1,2013
"7314",39480,14501.16,17401.393,63,1,1,0,0,0,2018
"10967",65388,19254.023,21393.359,65,1,1,0,0,0,2020
"7816",43648,53500,112500,58,1,2,0,0,1,2015
"7039",37918,25780.924,27488.547,64,0,1,0,0,0,2012
"6106",31721,12339.864,11303.692,74,1,2,0,0,0,2019
"308",1155,24869.215,25150.906,57,1,1,0,0,1,2014
"3502",14199,42150.039,41569.992,79,0,2,0,1,0,2018
"10258",60588,36302.852,31465.094,48,0,4,2,0,1,2017
"11920",72078,43058.352,32193.158,61,0,2,0,1,1,2014
"13207",80908,28522.451,28804.348,71,0,1,0,0,0,2013
"11717",70462,29857.688,29764.674,55,0,1,0,0,1,2020
"65",268,30500,30000,70,0,2,0,0,0,2015
"5214",25175,6876.4131,16955.539,52,1,2,0,0,1,2019
"7493",41292,59706.109,4930.3945,73,0,2,0,1,0,2018
"10230",60393,24700.309,14017.788,41,1,6,4,0,1,2018
"3014",13450,33722.684,30143.18,52,0,2,0,1,1,2019
"6866",36525,15835.01,18108.652,67,1,2,1,0,0,2014
"589",1968,31556.143,29201.205,61,0,1,0,0,1,2019
"4345",19147,46409.902,46943.348,81,0,2,0,0,0,2011
"489",1514,39134.809,38631.789,72,0,2,0,0,0,2014
"1208",10353,28730.219,8242.2754,57,1,3,1,0,0,2019
"14333",88778,23624.402,25917.064,74,0,2,0,0,0,2016
"2575",13095,40117.992,38348.082,58,1,2,0,0,1,2017
"8077",45425,26392.111,22235.111,33,0,2,0,0,0,2018
"10698",63327,0,11161.752,37,1,2,0,0,0,2020
"5730",29352,24187.322,18285.25,34,1,4,2,0,1,2013
"5764",29537,23230.396,40926.426,33,0,3,1,0,1,2020
"5823",29992,31760.078,43264.504,59,1,3,1,0,1,2017
"8651",49696,29000,2235,55,0,2,0,0,1,2015
"11151",66741,28834.527,32555.111,67,1,2,0,0,0,2020
"1639",11652,45340.293,46752.707,50,0,2,0,0,1,2018
"4713",21876,36266.012,47098.719,67,0,2,0,0,0,2019
"11132",66673,40524.781,41649.313,56,0,3,1,0,1,2012
"8325",47342,22235.111,22235.111,80,0,2,0,0,0,2018
"2597",13117,11347.781,11161.752,59,1,2,0,0,1,2020
"13730",84550,2031.6945,18285.25,71,0,2,0,0,0,2013
"11721",70479,20456.303,19510.828,44,0,4,2,1,0,2018
"13186",80689,24000,32000,65,0,4,2,0,0,2015
"11201",67057,35100,35000,70,1,2,0,0,0,2015
"7728",43016,23598.82,27531.957,50,0,2,0,0,0,2017
"10391",61456,36640,36600,69,0,2,0,0,0,2015
"8959",51887,20316.943,15237.708,52,1,2,0,0,1,2013
"3137",13534,39048.332,66680.891,62,0,1,0,1,1,2011
"3118",13518,28800,30000,47,0,5,3,0,1,2015
"3857",15699,1881.2838,14017.788,31,0,1,0,0,1,2018
"4519",20325,376789.75,47098.719,68,0,4,1,0,0,2019
"10853",64477,48000,50000,26,1,2,0,0,1,2015
"1300",10675,42454.727,41247.484,61,0,4,2,0,1,2014
"10095",59499,7809.2461,5215.5352,35,1,3,1,0,0,2012
"9461",55394,81698.563,79744.82,29,1,2,0,0,1,2016
"6468",34132,41000,44000,40,1,4,2,0,1,2015
"8402",48020,66221.961,53170.922,35,1,2,0,0,1,2018
"1719",12063,42595.871,43264.504,46,0,4,2,0,1,2017
"11271",67718,51808.59,51808.59,60,0,1,0,1,1,2019
"1274",10607,32811.863,37586.348,88,0,2,0,0,0,2013
"7426",40482,3392.9297,45713.125,33,0,5,3,0,1,2013
"4562",20763,21431.42,22926.635,61,0,2,0,0,0,2016
"10710",63455,26940.268,19301.098,29,0,2,0,0,1,2013
"5795",29862,46089.832,46943.348,56,1,2,0,0,1,2011
"2679",13196,56652.086,57612.289,49,0,6,3,0,1,2011
"1259",10492,54208.91,58435.496,74,1,2,0,1,0,2020
"12224",74113,6217.0308,3767.8975,59,0,1,0,1,0,2019
"8409",48051,42106.254,4050.4897,42,1,8,4,1,0,2019
"3093",13497,141447.38,177432.22,60,0,1,0,0,0,2016
"12730",77609,12393.658,11600.928,32,1,2,0,0,0,2018
"9880",58146,2110.2473,2890.7495,64,1,2,0,0,0,2016
"2555",13076,79876.07,81267.773,62,0,2,0,1,1,2013
"4810",22768,0,46943.348,40,0,4,2,0,1,2011
"2632",13159,34607.645,35211.27,68,0,2,0,1,0,2014
"6226",32631,1916,58500,65,0,1,0,0,0,2015
"3450",13868,45630.316,46403.711,70,1,2,0,0,0,2018
"11963",72226,31392.428,33020.184,85,0,2,0,0,0,2020
"13968",86218,14346.076,13581.489,72,0,1,0,0,0,2014
"2510",13034,21978.021,19214.766,49,0,1,0,0,1,2011
"11654",69998,36929.621,30935.809,34,0,1,0,0,1,2018
"3786",15396,45334.93,43859.648,47,1,3,1,1,1,2016
"5505",27689,28918.613,28259.23,74,0,2,0,0,0,2019
"3481",14023,0,31897.926,43,0,2,0,0,1,2016
"646",2184,72786.719,62877.262,58,0,5,3,0,1,2014
